Experiment,Material Assignment Time,Boundary Setup Time,Problem Setup Time,Solve Time,Visualization Time,Total Time
1,0.0117,0.0223,0.0399,1.1571,0.8208,2.0521
2,0.0105,0.0021,0.0159,0.9477,0.6452,1.6215
